Sample number, Date/Time,Channel 1 (°C)
664,9/3/2020 17:19:45,43.65692
665,9/3/2020 17:19:46,43.68579
666,9/3/2020 17:19:47,43.7148
667,9/3/2020 17:19:48,43.7473
668,9/3/2020 17:19:49,43.77267
669,9/3/2020 17:19:50,43.80155
670,9/3/2020 17:19:51,43.83418
671,9/3/2020 17:19:52,43.86681
672,9/3/2020 17:19:53,43.88481
673,9/3/2020 17:19:54,43.91019
674,9/3/2020 17:19:55,43.94644
675,9/3/2020 17:19:56,43.97907
676,9/3/2020 17:19:57,44.00795
677,9/3/2020 17:19:58,44.02971
678,9/3/2020 17:19:59,44.06583
679,9/3/2020 17:20:0,44.08033
680,9/3/2020 17:20:1,44.10947
681,9/3/2020 17:20:2,44.13096
682,9/3/2020 17:20:3,44.16734
683,9/3/2020 17:20:4,44.19984
684,9/3/2020 17:20:5,44.21072
685,9/3/2020 17:20:6,44.2361
686,9/3/2020 17:20:7,44.26148
687,9/3/2020 17:20:8,44.29774
688,9/3/2020 17:20:9,44.31938
689,9/3/2020 17:20:10,44.34476
690,9/3/2020 17:20:11,44.37739
691,9/3/2020 17:20:12,44.41364
